"model","make","kerb","gvw"
"","ATKINSON","6670","32520"
"FT85.400","DAF","11500","40000"
"FTGCF85.430","DAF","11500","40000"
"FTGCF85.460E","DAF","11500","40000"
"FTGCF85.460V","DAF","11500","44000"
"FTGXF105.510","DAF","11500","80000"
"M 2000","MAN","6300","18000"
"P230 4x2","Scania","6300","18000"
"P310 6x2","Scania","7500","26100"
"P94 4x2","Scania","6300","18000"
"R270 6x2","Scania","7400","26000"
"R620 6x2*4","Scania","7400","26000"
"RIEVER","ALBION","7700","20321"
"TGL","MAN","2300","7500"
"TGM","MAN","6200","18000"
