"vehicle_id","registration","model","year","body"
"1","4585 AW","RIEVER","1963",""
"2","SDU 567M","","1974",""
"3","P525 CAO","FT85.400","1996",""
"4","PY55 CGO","FTGCF85.430","2005",""
"5","PY06 BYP","FTGCF85.430","2006",""
"6","PY56 BZR","FTGCF85.460E","2006",""
"7","PY56 BZS","FTGCF85.460E","2006",""
"8","PY56 BZT","FTGCF85.460E","2007",""
"9","PY56 BZU","FTGCF85.460E","2007",""
"10","PY07 DFZ","FTGCF85.460E","2007",""
"11","PY57 XZG","FTGCF85.460E","2008",""
"12","PY57 XZH","FTGCF85.460E","2008",""
"13","PY57 XZK","FTGCF85.460E","2008",""
"14","PW08 BVZ","FTGCF85.460E","2008",""
"15","PW08 EKJ","FTGCF85.460E","2008",""
"16","PW08 LDA","FTGCF85.460E","2008",""
"17","PY58 OGK","FTGCF85.460E","2008",""
"18","PY58 UHB","FTGCF85.460E","2008",""
"19","PY58 UHF","FTGCF85.460E","2008",""
"20","PY09 XRG","FTGCF85.460E","2009",""
"21","PY09 XRH","FTGCF85.460E","2009",""
"22","PW09 EKX","FTGCF85.460E","2009",""
"23","PW59 OSR","FTGCF85.460E","2009",""
"24","PY59 OSU","FTGCF85.460E","2009",""
"25","PY59 OSW","FTGCF85.460E","2009",""
"26","PY10 OPL","FTGCF85.460V","2010",""
"27","PY10 OPM","FTGCF85.460V","2010",""
"28","PY10 OPN","FTGCF85.460V","2010",""
"29","PY60 XPM","FTGCF85.460V","2011",""
"30","PY11 OAA","FTGCF85.460V","2011",""
"31","PY11 XJP","FTGXF105.510","2011",""
"32","PY61 RNU","FTGCF85.460V","2011",""
"33","PY61 RNV","FTGCF85.460V","2011",""
"34","PY12 RSU","FTGCF85.460V","2012",""
"35","PY12 RSV","FTGXF105.510","2012",""
"36","PY12 ZYA","FTGCF85.460V","2012",""
"37","PY12 ZYB","FTGCF85.460V","2012",""
"38","MR58UMH","P310 6x2","2009","Box"
"39","KN10WDG","R620 6x2*4","2010","Chassis"
"40","BD60BVF","P230 4x2","2010","Box"
"41","BD10AYV","P230 4x2","2010","Box"
"42","BD10AYC","P230 4x2","2010","Box"
"43","BD09FNE","P230 4x2","2009","Curtainsider"
"44","BD08AOG","R270 6x2","2008",""
"45","BD08AOC","R270 6x2","2008",""
"46","BD08AOF","R270 6x2","2008","Curtainsider"
"47","WY51OLV","P94 4x2","2002",""
"48","BR57BXF","TGM","2008","Curtainsider"
"49","BR58BXG","M 2000","2005","Box"
"50","BR58BXJ","TGM","2009","Box"
"51","BR58BXE","TGM","2008","Box"
"52","BR58BXV","TGM","2006","Box"
"53","BR58BXM","TGM","2008","Box"
"54","BR58BXC","TGL","2008","Box"
"55","BR58BXA","TGL","2008","Box"
"56","4585 AW","RIEVER","1963",""
"57","SDU 567M","","1974",""
"58","P525 CAO","FT85.400","1996",""
"59","PY55 CGO","FTGCF85.430","2005",""
"60","PY06 BYP","FTGCF85.430","2006",""
"61","PY56 BZR","FTGCF85.460E","2006",""
"62","PY56 BZS","FTGCF85.460E","2006",""
"63","PY56 BZT","FTGCF85.460E","2007",""
"64","PY56 BZU","FTGCF85.460E","2007",""
"65","PY07 DFZ","FTGCF85.460E","2007",""
"66","PY57 XZG","FTGCF85.460E","2008",""
"67","PY57 XZH","FTGCF85.460E","2008",""
"68","PY57 XZK","FTGCF85.460E","2008",""
"69","PW08 BVZ","FTGCF85.460E","2008",""
"70","PW08 EKJ","FTGCF85.460E","2008",""
"71","PW08 LDA","FTGCF85.460E","2008",""
"72","PY58 OGK","FTGCF85.460E","2008",""
"73","PY58 UHB","FTGCF85.460E","2008",""
"74","PY58 UHF","FTGCF85.460E","2008",""
"75","PY09 XRG","FTGCF85.460E","2009",""
"76","PY09 XRH","FTGCF85.460E","2009",""
"77","PW09 EKX","FTGCF85.460E","2009",""
"78","PW59 OSR","FTGCF85.460E","2009",""
"79","PY59 OSU","FTGCF85.460E","2009",""
"80","PY59 OSW","FTGCF85.460E","2009",""
"81","PY10 OPL","FTGCF85.460V","2010",""
"82","PY10 OPM","FTGCF85.460V","2010",""
"83","PY10 OPN","FTGCF85.460V","2010",""
"84","PY60 XPM","FTGCF85.460V","2011",""
"85","PY11 OAA","FTGCF85.460V","2011",""
"86","PY11 XJP","FTGXF105.510","2011",""
"87","PY61 RNU","FTGCF85.460V","2011",""
"88","PY61 RNV","FTGCF85.460V","2011",""
"89","PY12 RSU","FTGCF85.460V","2012",""
"90","PY12 RSV","FTGXF105.510","2012",""
"91","PY12 ZYA","FTGCF85.460V","2012",""
"92","PY12 ZYB","FTGCF85.460V","2012",""
"93","MR58UMH","P310 6x2","2009","Box"
"94","KN10WDG","R620 6x2*4","2010","Chassis"
"95","BD60BVF","P230 4x2","2010","Box"
"96","BD10AYV","P230 4x2","2010","Box"
"97","BD10AYC","P230 4x2","2010","Box"
"98","BD09FNE","P230 4x2","2009","Curtainsider"
"99","BD08AOG","R270 6x2","2008",""
"100","BD08AOC","R270 6x2","2008",""
"101","BD08AOF","R270 6x2","2008","Curtainsider"
"102","WY51OLV","P94 4x2","2002",""
"103","BR57BXF","TGM","2008","Curtainsider"
"104","BR58BXG","M 2000","2005","Box"
"105","BR58BXJ","TGM","2009","Box"
"106","BR58BXE","TGM","2008","Box"
"107","BR58BXV","TGM","2006","Box"
"108","BR58BXM","TGM","2008","Box"
"109","BR58BXC","TGL","2008","Box"
"110","BR58BXA","TGL","2008","Box"
